update_date,province,region,year,weeknum,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,vaccine_total,vaccine_1st_dose,vaccine_2nd_dose,vaccine_3rd_dose,vaccine_total_acm,vaccine_1st_dose_acm,vaccine_2nd_dose_acm,vaccine_3rd_dose_acm
2023-03-13 07:34:37,นนทบุรี,ภาคกลาง,2023,10,2,126,2,126,0,2,14,6,0,8,3467234,1183758,1130426,1153050
2023-03-13 07:34:37,ลพบุรี,ภาคกลาง,2023,10,2,49,2,49,0,1,0,0,0,0,1252432,471251,459800,321381
2023-03-13 07:34:37,กรุงเทพมหานคร,ภาคกลาง,2023,10,42,770,42,770,1,45,423,41,58,324,28253116,10030194,9331851,8891071
2023-03-13 07:34:37,นครปฐม,ภาคกลาง,2023,10,2,44,2,44,0,0,0,0,0,0,1916617,724075,718026,474516
2023-03-13 07:34:37,กำแพงเพชร,ภาคกลาง,2023,10,0,25,0,25,0,2,0,0,0,0,1140239,465243,443737,231259
2023-03-13 07:34:37,พิจิตร,ภาคกลาง,2023,10,0,33,0,33,0,3,3,0,0,3,874428,342369,328894,203165
2023-03-13 07:34:37,อุทัยธานี,ภาคกลาง,2023,10,0,39,0,39,0,3,0,0,0,0,540474,214938,208284,117252
2023-03-13 07:34:37,สุโขทัย,ภาคกลาง,2023,10,0,28,0,28,0,8,0,0,0,0,993457,393545,376441,223471
2023-03-13 07:34:37,สุพรรณบุรี,ภาคกลาง,2023,10,1,76,1,76,0,10,0,0,0,0,1331206,539725,522963,268518
2023-03-13 07:34:37,สิงห์บุรี,ภาคกลาง,2023,10,1,25,1,25,0,4,0,0,0,0,390435,146419,143788,100228
2023-03-13 07:34:37,สมุทรสาคร,ภาคกลาง,2023,10,0,27,0,27,0,4,56,8,12,36,2449924,1000690,927088,522146
2023-03-13 07:34:37,เพชรบูรณ์,ภาคกลาง,2023,10,0,17,0,17,0,0,0,0,0,0,1582519,649790,612946,319783
2023-03-13 07:34:37,ชัยนาท,ภาคกลาง,2023,10,0,49,0,49,0,1,0,0,0,0,558181,216199,210280,131702
2023-03-13 07:34:37,อ่างทอง,ภาคกลาง,2023,10,1,24,1,24,1,5,0,0,0,0,495337,182465,179788,133084
2023-03-13 07:34:37,ปทุมธานี,ภาคกลาง,2023,10,5,80,5,80,0,1,4,0,0,4,3357558,1367663,1289933,699962
2023-03-13 07:34:37,พระนครศรีอยุธยา,ภาคกลาง,2023,10,1,29,1,29,1,6,33,0,0,33,1979937,705590,687303,587044
2023-03-13 07:34:37,สระบุรี,ภาคกลาง,2023,10,0,24,0,24,0,3,0,0,0,0,1452606,534155,531469,386982
2023-03-13 07:34:37,นครนายก,ภาคกลาง,2023,10,1,44,1,44,3,4,0,0,0,0,466252,174327,169833,122092
2023-03-13 07:34:37,สมุทรสงคราม,ภาคกลาง,2023,10,0,23,0,23,0,0,0,0,0,0,343562,132573,125518,85471
2023-03-13 07:34:37,พิษณุโลก,ภาคกลาง,2023,10,0,60,0,60,0,0,0,0,0,0,1635175,636406,614140,384629
2023-03-13 07:34:37,สมุทรปราการ,ภาคกลาง,2023,10,1,105,1,105,0,10,71,11,25,35,4758677,1757769,1566617,1434291
2023-03-13 07:34:37,นครสวรรค์,ภาคกลาง,2023,10,1,76,1,76,0,7,20,3,6,11,1804309,702231,682963,419115
2023-03-13 07:34:37,ลพบุรี,ภาคกลาง,2021,52,16,16,16,16,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,นนทบุรี,ภาคกลาง,2021,52,42,42,41,41,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,กรุงเทพมหานคร,ภาคกลาง,2021,52,454,454,408,408,1,1,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,กำแพงเพชร,ภาคกลาง,2021,52,7,7,7,7,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,นครปฐม,ภาคกลาง,2021,52,18,18,18,18,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,สุโขทัย,ภาคกลาง,2021,52,2,2,2,2,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,อุทัยธานี,ภาคกลาง,2021,52,2,2,2,2,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,อ่างทอง,ภาคกลาง,2021,52,10,10,10,10,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,สิงห์บุรี,ภาคกลาง,2021,52,2,2,2,2,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,สุพรรณบุรี,ภาคกลาง,2021,52,2,2,2,2,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,สระบุรี,ภาคกลาง,2021,52,29,29,29,29,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,พระนครศรีอยุธยา,ภาคกลาง,2021,52,22,22,22,22,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,ปทุมธานี,ภาคกลาง,2021,52,45,45,45,45,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,นครนายก,ภาคกลาง,2021,52,14,14,14,14,0,0,0,0,0,0,0,0,0,0
2023-03-13 07:34:37,สมุทรสงคราม,ภาคกลาง,2021,52,5,5,5,5,0,0,0,0,0,0,0,0,0,0
